donor_id,preferred_categories,donation_range_min,donation_range_max,location,preferred_type
D52,Shelter,902,3051,Chennai,NGO
D53,"Education,Arts",552,3545,Kolkata,NGO
D54,"Health,Shelter",899,3654,Delhi,Orphanage
D55,"Arts,Shelter",851,4563,Mumbai,NGO
D56,Education,850,3426,Bangalore,NGO
D57,"Shelter,Food",722,2891,Mumbai,Orphanage
D58,Food,960,2855,Bangalore,Orphanage
D59,"Food,Education",523,2264,Bangalore,NGO
D60,Health,500,3805,Kolkata,Orphanage
D61,Shelter,754,3787,Chennai,Orphanage
D62,"Health,Arts",803,2303,Delhi,NGO
D63,"Shelter,Education",956,2068,Kolkata,NGO
D64,Food,946,3064,Delhi,Orphanage
D65,Arts,715,2954,Delhi,NGO
D66,"Food,Health",953,2721,Delhi,NGO
D67,"Education,Food",964,2820,Bangalore,Orphanage
D68,"Health,Education",934,3471,Mumbai,NGO
D69,"Health,Food",770,3069,Chennai,NGO
D70,Arts,817,2391,Mumbai,NGO
D71,Food,865,3969,Kolkata,NGO
D72,"Education,Shelter",929,4732,Kolkata,NGO
D73,"Health,Education",613,3217,Kolkata,NGO
D74,Health,975,2919,Mumbai,NGO
D75,Arts,992,4860,Kolkata,NGO
D76,"Food,Shelter",902,4029,Delhi,Orphanage
D77,"Shelter,Health",681,3727,Bangalore,NGO
D78,Health,918,4346,Bangalore,Orphanage
D79,"Arts,Food",992,2548,Delhi,Orphanage
D80,"Shelter,Education",820,3880,Delhi,Orphanage
D81,Education,981,3555,Delhi,Orphanage
D82,"Food,Arts",952,2450,Mumbai,NGO
D83,Education,508,2845,Chennai,NGO
D84,"Health,Arts",873,4575,Kolkata,NGO
D85,"Arts,Shelter",635,3591,Bangalore,Orphanage
D86,Food,574,4768,Delhi,NGO
D87,Arts,639,4994,Chennai,Orphanage
D88,"Arts,Food",514,2529,Kolkata,Orphanage
D89,Education,871,4313,Chennai,NGO
D90,"Food,Education",785,3191,Chennai,Orphanage
D91,"Shelter,Health",559,3873,Chennai,NGO
D92,Health,917,2836,Mumbai,NGO
D93,"Food,Education",675,4201,Delhi,NGO
D94,Arts,689,4896,Kolkata,Orphanage
D95,Arts,723,3446,Bangalore,Orphanage
D96,"Arts,Shelter",669,4531,Bangalore,NGO
D97,Arts,576,3365,Kolkata,Orphanage
D98,Shelter,810,2715,Mumbai,Orphanage
D99,"Shelter,Arts",626,4195,Delhi,Orphanage
D100,Education,944,2166,Mumbai,NGO
D101,Shelter,778,2681,Kolkata,NGO
D102,Education,997,4282,Delhi,Orphanage
D103,Shelter,592,3185,Delhi,Orphanage
D104,Health,641,4077,Bangalore,Orphanage
D105,Food,521,4565,Kolkata,NGO
D106,Education,886,4282,Delhi,NGO
D107,Education,634,3997,Bangalore,Orphanage
D108,"Health,Shelter",597,2200,Mumbai,Orphanage
D109,"Food,Arts",864,2531,Mumbai,NGO
D110,"Education,Health",536,3093,Chennai,NGO
D111,Education,636,4896,Mumbai,Orphanage
D112,Arts,643,3109,Chennai,NGO
D113,"Food,Shelter",830,4740,Chennai,Orphanage
D114,"Health,Food",914,2676,Mumbai,NGO
D115,Arts,970,3250,Delhi,NGO
D116,Education,990,2971,Delhi,Orphanage
D117,Arts,525,3286,Kolkata,NGO
D118,"Arts,Education",756,4376,Bangalore,NGO
D119,"Shelter,Education",853,3725,Kolkata,Orphanage
D120,Food,986,3340,Kolkata,Orphanage
D121,"Shelter,Food",685,3043,Chennai,NGO
D122,Education,769,3858,Delhi,Orphanage
D123,"Food,Health",706,3601,Bangalore,Orphanage
D124,"Education,Food",961,4336,Kolkata,Orphanage
D125,"Health,Shelter",851,2228,Delhi,Orphanage
D126,Education,560,2508,Mumbai,Orphanage
D127,Food,567,4382,Mumbai,NGO
D128,"Health,Education",884,2256,Kolkata,Orphanage
D129,Education,577,3064,Chennai,NGO
D130,Shelter,857,4837,Kolkata,Orphanage
D131,Shelter,707,4316,Chennai,Orphanage
D132,"Shelter,Health",776,2543,Mumbai,Orphanage
D133,"Arts,Health",908,4890,Bangalore,NGO
D134,"Education,Food",608,3196,Delhi,NGO
D135,Arts,731,2457,Bangalore,Orphanage
D136,"Arts,Food",524,4484,Kolkata,NGO
D137,Education,977,4605,Kolkata,NGO
D138,Education,994,4608,Chennai,NGO
D139,Food,756,3599,Delhi,NGO
D140,Food,541,3620,Bangalore,NGO
D141,"Arts,Food",968,3924,Delhi,Orphanage
D142,"Education,Food",823,4816,Delhi,NGO
D143,"Health,Arts",837,2901,Delhi,NGO
D144,"Education,Arts",542,4833,Bangalore,NGO
D145,Shelter,547,2989,Kolkata,NGO
D146,"Food,Health",742,4527,Mumbai,NGO
D147,Health,777,2373,Delhi,Orphanage
D148,Arts,910,2918,Kolkata,NGO
D149,"Education,Arts",874,3660,Delhi,NGO
D150,Education,676,4025,Chennai,NGO
D151,"Education,Food",844,3354,Delhi,Orphanage
D152,Shelter,999,4531,Mumbai,NGO
D153,"Arts,Shelter",641,2763,Kolkata,Orphanage
D154,Education,900,4316,Chennai,NGO
D155,Shelter,961,3723,Chennai,NGO
D156,"Food,Arts",883,3249,Bangalore,NGO
D157,Food,998,2241,Chennai,Orphanage
D158,Health,684,4586,Bangalore,NGO
D159,Education,666,4584,Bangalore,NGO
D160,Shelter,834,4730,Kolkata,Orphanage
D161,"Arts,Food",766,2357,Bangalore,NGO
D162,Health,764,3787,Mumbai,Orphanage
D163,"Education,Health",686,4187,Mumbai,NGO
D164,Health,554,4247,Bangalore,NGO
D165,"Health,Shelter",823,4718,Mumbai,Orphanage
D166,Health,583,4071,Delhi,NGO
D167,Health,534,2418,Kolkata,NGO
D168,Arts,864,3555,Delhi,NGO
D169,"Health,Food",732,2382,Delhi,Orphanage
D170,Education,709,2969,Bangalore,Orphanage
D171,Arts,842,4424,Bangalore,NGO
D172,"Education,Food",682,3519,Delhi,Orphanage
D173,Education,970,2264,Kolkata,Orphanage
D174,"Shelter,Education",519,4638,Delhi,Orphanage
D175,Health,792,2581,Bangalore,Orphanage
D176,Education,800,2672,Chennai,NGO
D177,Education,953,4411,Delhi,NGO
D178,"Health,Shelter",751,3887,Kolkata,NGO
D179,Arts,614,4498,Mumbai,NGO
D180,"Education,Health",967,2238,Chennai,Orphanage
D181,Education,907,4821,Mumbai,Orphanage
D182,Arts,768,3781,Bangalore,NGO
D183,"Shelter,Arts",553,2814,Chennai,NGO
D184,Food,904,4046,Chennai,NGO
D185,Health,537,4763,Kolkata,Orphanage
D186,"Arts,Shelter",678,4154,Delhi,NGO
D187,Arts,507,4992,Chennai,Orphanage
D188,"Health,Shelter",676,4604,Chennai,Orphanage
D189,Food,729,3000,Chennai,Orphanage
D190,"Shelter,Arts",940,3305,Kolkata,Orphanage
D191,"Education,Arts",522,3217,Chennai,NGO
D192,Shelter,714,3505,Kolkata,NGO
D193,Arts,830,4071,Kolkata,NGO
D194,Shelter,585,3172,Delhi,NGO
D195,Shelter,746,2457,Mumbai,Orphanage
D196,Arts,621,3544,Mumbai,NGO
D197,Education,939,3994,Delhi,NGO
D198,"Health,Arts",883,3160,Mumbai,NGO
D199,Food,914,4790,Bangalore,Orphanage
D200,Health,738,3503,Mumbai,NGO
D201,Food,834,3280,Chennai,NGO
D202,Food,919,4410,Kolkata,Orphanage
D203,Shelter,574,4427,Mumbai,NGO
D204,"Education,Shelter",927,4791,Bangalore,Orphanage
D205,"Food,Education",663,4473,Kolkata,Orphanage
D206,Food,580,3093,Kolkata,Orphanage
D207,"Health,Education",920,4750,Mumbai,NGO
D208,"Food,Health",537,4752,Delhi,Orphanage
D209,Food,893,2778,Kolkata,Orphanage
D210,Food,992,2657,Bangalore,NGO
D211,"Arts,Shelter",792,4574,Mumbai,Orphanage
D212,Arts,700,2513,Delhi,NGO
D213,"Arts,Health",947,2629,Chennai,Orphanage
D214,Health,646,2750,Mumbai,Orphanage
D215,Health,764,3607,Kolkata,NGO
D216,"Education,Arts",770,3021,Kolkata,NGO
D217,Arts,965,2908,Bangalore,Orphanage
D218,Shelter,752,2385,Bangalore,Orphanage
D219,Arts,535,2571,Kolkata,Orphanage
D220,Food,870,2779,Bangalore,NGO
D221,Education,887,4151,Kolkata,Orphanage
D222,"Education,Arts",589,3446,Chennai,NGO
D223,"Shelter,Education",978,2597,Bangalore,NGO
D224,Food,543,3198,Bangalore,NGO
D225,"Health,Food",986,3277,Chennai,NGO
D226,Food,553,3169,Bangalore,Orphanage
D227,Health,698,4917,Mumbai,Orphanage
D228,"Food,Health",693,3953,Kolkata,NGO
D229,"Arts,Food",652,3821,Mumbai,Orphanage
D230,Shelter,741,2312,Chennai,NGO
D231,Health,977,2074,Mumbai,NGO
D232,Food,693,3181,Mumbai,Orphanage
D233,Education,931,3052,Bangalore,Orphanage
D234,"Arts,Health",686,4116,Delhi,NGO
D235,Food,622,3015,Mumbai,NGO
D236,Education,880,4149,Chennai,NGO
D237,Shelter,770,3731,Chennai,Orphanage
D238,Health,622,2326,Chennai,Orphanage
D239,"Food,Arts",793,3915,Kolkata,Orphanage
D240,"Arts,Food",688,4564,Mumbai,Orphanage
D241,"Education,Arts",732,2835,Bangalore,NGO
D242,Shelter,560,3583,Delhi,NGO
D243,Education,942,4286,Delhi,Orphanage
D244,Health,644,3658,Mumbai,Orphanage
D245,Food,758,2644,Chennai,Orphanage
D246,Health,855,2622,Delhi,Orphanage
D247,Health,544,3124,Bangalore,NGO
D248,"Arts,Food",738,4256,Mumbai,NGO
D249,"Health,Shelter",938,2446,Delhi,NGO
D250,Education,857,3215,Chennai,NGO
D251,"Arts,Health",606,2299,Kolkata,Orphanage
D252,"Food,Education",903,4979,Bangalore,NGO
D253,Health,517,3065,Kolkata,Orphanage
D254,Arts,993,4497,Delhi,NGO
D255,Shelter,615,3577,Mumbai,Orphanage
D256,Arts,743,3909,Bangalore,Orphanage
D257,Education,871,4118,Delhi,Orphanage
D258,Health,717,4755,Mumbai,NGO
D259,Health,632,2808,Delhi,NGO
D260,Health,583,4424,Bangalore,NGO
D261,"Shelter,Education",569,2238,Bangalore,NGO
D262,"Food,Arts",865,2231,Kolkata,Orphanage
D263,Shelter,766,3656,Chennai,Orphanage
D264,Health,914,3154,Mumbai,Orphanage
D265,Arts,612,2359,Mumbai,Orphanage
D266,"Food,Shelter",820,4190,Delhi,NGO
D267,Education,713,3633,Mumbai,NGO
D268,"Education,Shelter",962,2568,Delhi,NGO
D269,Health,953,3554,Bangalore,Orphanage
D270,Health,1000,2690,Bangalore,NGO
D271,Shelter,523,4138,Bangalore,Orphanage
D272,"Health,Education",907,4013,Kolkata,Orphanage
D273,"Food,Education",874,3869,Delhi,Orphanage
D274,Food,626,3143,Delhi,NGO
D275,Arts,960,2676,Delhi,NGO
D276,Education,987,3222,Delhi,Orphanage
D277,Education,809,2188,Mumbai,NGO
D278,Food,534,3518,Mumbai,Orphanage
D279,Health,728,3773,Bangalore,Orphanage
D280,"Education,Health",645,4770,Bangalore,NGO
D281,"Shelter,Health",810,2764,Mumbai,Orphanage
D282,"Education,Food",874,2977,Mumbai,NGO
D283,Shelter,996,4416,Kolkata,NGO
D284,"Health,Food",890,4076,Mumbai,Orphanage
D285,"Education,Food",925,3416,Delhi,Orphanage
D286,Health,720,4394,Mumbai,Orphanage
D287,Food,627,2028,Kolkata,NGO
D288,Health,692,2217,Chennai,Orphanage
D289,"Education,Shelter",843,4169,Chennai,Orphanage
D290,"Health,Education",599,3246,Mumbai,NGO
D291,Shelter,991,2906,Delhi,NGO
D292,"Food,Arts",794,2186,Delhi,Orphanage
D293,Shelter,849,2067,Kolkata,Orphanage
D294,Education,846,2020,Mumbai,Orphanage
D295,Arts,807,2357,Kolkata,Orphanage
D296,Arts,551,3283,Delhi,Orphanage
D297,Education,707,4551,Chennai,Orphanage
D298,"Arts,Food",811,3256,Delhi,NGO
D299,"Shelter,Arts",681,4989,Mumbai,NGO
D300,Arts,607,2379,Bangalore,Orphanage
D301,"Education,Arts",828,3823,Delhi,NGO
D302,"Health,Shelter",931,2961,Chennai,NGO
D303,"Health,Education",864,3178,Delhi,NGO
D304,"Health,Food",743,2951,Kolkata,NGO
D305,"Arts,Food",954,2543,Delhi,NGO
D306,Arts,937,4988,Delhi,Orphanage
D307,Health,541,3990,Bangalore,NGO
D308,Food,846,3607,Chennai,Orphanage
D309,Education,936,5000,Bangalore,NGO
D310,Food,998,4903,Chennai,Orphanage
D311,Shelter,732,3062,Mumbai,NGO
D312,Shelter,974,4298,Bangalore,Orphanage
D313,Arts,810,3980,Chennai,Orphanage
D314,"Education,Arts",787,4069,Delhi,NGO
D315,Health,502,2500,Mumbai,NGO
D316,Shelter,732,4584,Kolkata,Orphanage
D317,Health,517,3813,Bangalore,NGO
D318,"Education,Health",953,4073,Chennai,Orphanage
D319,Education,794,4218,Delhi,NGO
D320,"Arts,Food",974,4701,Kolkata,NGO
D321,Arts,892,3651,Delhi,NGO
D322,"Food,Education",702,2616,Kolkata,NGO
D323,Health,958,2858,Mumbai,Orphanage
D324,"Food,Education",908,2595,Mumbai,NGO
D325,"Arts,Shelter",857,4076,Bangalore,NGO
D326,"Arts,Shelter",582,2524,Kolkata,Orphanage
D327,"Education,Shelter",514,2456,Chennai,Orphanage
D328,Food,888,3600,Mumbai,Orphanage
D329,Education,903,2391,Mumbai,NGO
D330,Education,579,3325,Bangalore,NGO
D331,Arts,833,4617,Bangalore,NGO
D332,"Food,Arts",526,3681,Mumbai,NGO
D333,"Shelter,Food",852,2373,Chennai,NGO
D334,"Arts,Education",880,4234,Chennai,Orphanage
D335,Health,602,2017,Bangalore,NGO
D336,Food,977,4034,Chennai,Orphanage
D337,Shelter,711,2973,Delhi,Orphanage
D338,"Food,Shelter",830,3925,Mumbai,Orphanage
D339,"Education,Shelter",641,4006,Kolkata,Orphanage
D340,"Food,Health",603,4691,Chennai,Orphanage
D341,Health,589,2111,Mumbai,Orphanage
D342,"Shelter,Arts",597,2426,Kolkata,NGO
D343,Education,723,3834,Kolkata,Orphanage
D344,Education,891,3950,Delhi,NGO
D345,Education,922,2463,Delhi,Orphanage
D346,Shelter,617,4285,Mumbai,Orphanage
D347,"Health,Arts",976,2547,Delhi,NGO
D348,Health,971,3302,Bangalore,Orphanage
D349,Arts,806,4463,Bangalore,Orphanage
D350,Shelter,942,3578,Delhi,NGO
D351,Health,915,3649,Bangalore,Orphanage
D352,Education,877,2760,Chennai,NGO
D353,"Food,Shelter",770,4986,Delhi,NGO
D354,Health,677,2432,Mumbai,NGO
D355,"Education,Arts",849,2577,Kolkata,Orphanage
D356,"Shelter,Food",956,4508,Mumbai,NGO
D357,"Health,Arts",679,4221,Mumbai,NGO
D358,Education,502,4510,Chennai,NGO
D359,"Health,Food",740,4444,Delhi,Orphanage
D360,"Health,Education",911,4536,Bangalore,Orphanage
D361,Health,861,2948,Delhi,Orphanage
D362,Arts,797,4672,Kolkata,Orphanage
D363,Arts,557,3707,Bangalore,NGO
D364,Arts,757,3606,Delhi,Orphanage
D365,Food,815,2905,Chennai,Orphanage
D366,"Health,Arts",639,2287,Kolkata,Orphanage
D367,"Shelter,Health",746,2150,Bangalore,NGO
D368,"Food,Shelter",878,2341,Bangalore,Orphanage
D369,Health,719,3107,Chennai,Orphanage
D370,Shelter,882,2829,Kolkata,Orphanage
D371,"Health,Arts",609,2012,Chennai,Orphanage
D372,"Food,Arts",796,2866,Kolkata,NGO
D373,"Education,Arts",819,4063,Mumbai,Orphanage
D374,Arts,740,4000,Mumbai,Orphanage
D375,"Health,Food",550,3049,Delhi,NGO
D376,"Arts,Health",919,4281,Kolkata,Orphanage
D377,Health,953,3044,Delhi,Orphanage
D378,Health,753,3507,Mumbai,Orphanage
D379,"Food,Arts",943,2430,Delhi,NGO
D380,"Education,Health",632,4715,Kolkata,NGO
D381,"Health,Food",900,3558,Chennai,NGO
D382,Education,903,2188,Kolkata,Orphanage
D383,"Arts,Education",785,4402,Bangalore,NGO
D384,Food,715,4184,Kolkata,Orphanage
D385,Arts,725,2775,Bangalore,NGO
D386,Health,947,2780,Kolkata,NGO
D387,Health,990,3667,Delhi,NGO
D388,Food,992,3760,Kolkata,Orphanage
D389,Education,536,2528,Bangalore,NGO
D390,Education,572,2939,Delhi,NGO
D391,Food,537,2840,Bangalore,Orphanage
D392,"Health,Shelter",588,3263,Kolkata,NGO
D393,Health,673,3744,Mumbai,Orphanage
D394,Arts,789,4881,Bangalore,Orphanage
D395,Food,514,2523,Delhi,NGO
D396,Shelter,507,3596,Mumbai,Orphanage
D397,"Health,Arts",571,3377,Delhi,NGO
D398,Shelter,682,3155,Chennai,Orphanage
D399,Food,949,3372,Delhi,Orphanage
D400,"Arts,Food",796,3325,Bangalore,NGO
D401,Shelter,828,4317,Kolkata,NGO
D402,"Arts,Shelter",529,3070,Mumbai,Orphanage
D403,Arts,588,3874,Chennai,NGO
D404,"Shelter,Arts",994,4781,Delhi,Orphanage
D405,"Arts,Food",619,3080,Delhi,NGO
D406,Shelter,743,3978,Chennai,NGO
D407,Shelter,632,3876,Bangalore,Orphanage
D408,Arts,661,4072,Kolkata,Orphanage
D409,"Food,Education",559,3547,Bangalore,Orphanage
D410,"Food,Health",903,4175,Chennai,NGO
D411,"Food,Health",722,3725,Delhi,NGO
D412,Arts,743,3852,Chennai,NGO
D413,"Arts,Shelter",525,4402,Chennai,Orphanage
D414,"Shelter,Education",928,4676,Bangalore,Orphanage
D415,"Arts,Food",527,4081,Chennai,NGO
D416,"Shelter,Health",890,4855,Kolkata,Orphanage
D417,Health,655,3392,Mumbai,NGO
D418,Food,644,4018,Delhi,NGO
D419,Shelter,994,2730,Bangalore,NGO
D420,Arts,800,3512,Kolkata,Orphanage
D421,Shelter,549,2886,Kolkata,Orphanage
D422,"Education,Health",953,2527,Kolkata,NGO
D423,Arts,722,3454,Bangalore,NGO
D424,Arts,640,4813,Mumbai,Orphanage
D425,Education,526,3725,Kolkata,Orphanage
D426,Arts,567,3503,Delhi,Orphanage
D427,Education,769,3267,Kolkata,NGO
D428,Shelter,899,2399,Chennai,NGO
D429,"Health,Arts",925,2200,Bangalore,NGO
D430,"Education,Health",738,2756,Kolkata,NGO
D431,"Health,Education",651,4424,Chennai,Orphanage
D432,Arts,703,2589,Chennai,NGO
D433,"Arts,Shelter",938,3254,Chennai,Orphanage
D434,"Education,Health",964,3214,Kolkata,Orphanage
D435,Education,867,4357,Delhi,NGO
D436,"Shelter,Arts",506,4137,Bangalore,Orphanage
D437,Education,964,4634,Delhi,NGO
D438,"Shelter,Health",972,2004,Chennai,Orphanage
D439,Arts,777,4519,Chennai,Orphanage
D440,"Health,Food",686,3810,Mumbai,NGO
D441,Shelter,568,3451,Chennai,NGO
D442,Arts,832,4256,Kolkata,NGO
D443,"Shelter,Arts",524,2638,Chennai,NGO
D444,"Health,Arts",588,4900,Delhi,Orphanage
D445,Shelter,879,3821,Bangalore,Orphanage
D446,Health,961,4081,Mumbai,NGO
D447,"Health,Arts",709,2485,Delhi,Orphanage
D448,"Arts,Education",587,2117,Delhi,Orphanage
D449,Arts,935,4550,Chennai,Orphanage
D450,Health,762,4498,Bangalore,Orphanage
D451,"Education,Food",508,3126,Kolkata,Orphanage
D452,Health,946,3647,Delhi,NGO
D453,Health,717,2501,Bangalore,NGO
D454,Shelter,632,4967,Mumbai,Orphanage
D455,"Education,Health",968,3165,Kolkata,NGO
D456,Shelter,642,4355,Kolkata,Orphanage
D457,"Education,Health",777,4882,Mumbai,NGO
D458,Arts,625,3595,Chennai,Orphanage
D459,"Health,Food",669,2245,Bangalore,Orphanage
D460,"Health,Arts",657,3356,Chennai,NGO
D461,Shelter,801,4774,Chennai,NGO
D462,"Food,Health",695,2218,Chennai,NGO
D463,Food,811,3732,Chennai,Orphanage
D464,"Arts,Food",713,4412,Delhi,Orphanage
D465,"Shelter,Health",545,4195,Kolkata,NGO
D466,"Food,Health",780,2905,Chennai,NGO
D467,"Health,Shelter",787,3160,Mumbai,NGO
D468,Food,751,4374,Delhi,NGO
D469,"Health,Education",555,2837,Mumbai,Orphanage
D470,"Education,Health",748,2498,Bangalore,NGO
D471,Food,564,3982,Mumbai,NGO
D472,Food,844,2107,Delhi,NGO
D473,Shelter,982,3578,Delhi,NGO
D474,"Arts,Food",651,3262,Chennai,NGO
D475,"Food,Health",751,3578,Bangalore,NGO
D476,Shelter,507,2272,Bangalore,NGO
D477,"Food,Arts",574,4123,Bangalore,NGO
D478,"Arts,Health",769,3122,Kolkata,Orphanage
D479,Education,808,3622,Bangalore,Orphanage
D480,Shelter,963,4906,Kolkata,Orphanage
D481,"Shelter,Education",752,3284,Bangalore,Orphanage
D482,Shelter,714,3835,Chennai,NGO
D483,"Education,Arts",679,2690,Mumbai,Orphanage
D484,"Health,Food",683,2228,Kolkata,NGO
D485,Food,583,3830,Chennai,Orphanage
D486,Food,830,2222,Chennai,NGO
D487,Arts,548,2410,Kolkata,NGO
D488,"Health,Education",920,4470,Bangalore,Orphanage
D489,"Health,Education",689,4732,Bangalore,Orphanage
D490,"Health,Food",790,4108,Bangalore,Orphanage
D491,Education,686,4184,Delhi,NGO
D492,Food,828,3026,Mumbai,Orphanage
D493,Health,544,2776,Bangalore,Orphanage
D494,"Health,Food",917,2889,Mumbai,Orphanage
D495,"Food,Shelter",842,2344,Chennai,Orphanage
D496,"Education,Shelter",979,4882,Kolkata,Orphanage
D497,Food,577,3881,Chennai,NGO
D498,"Education,Shelter",886,3136,Chennai,Orphanage
D499,Shelter,595,2844,Chennai,Orphanage
D500,"Health,Arts",839,3522,Mumbai,Orphanage
D501,Arts,914,4159,Delhi,NGO
D502,"Health,Education",747,3285,Mumbai,Orphanage
D503,"Arts,Education",885,4348,Kolkata,NGO
D504,"Education,Health",935,3756,Delhi,Orphanage
D505,Food,797,4141,Kolkata,NGO
D506,"Food,Health",686,2294,Mumbai,NGO
D507,"Food,Arts",602,3316,Kolkata,NGO
D508,"Shelter,Food",921,4823,Chennai,NGO
D509,"Health,Shelter",762,2665,Kolkata,Orphanage
D510,Arts,948,4030,Mumbai,Orphanage
D511,"Health,Arts",862,3916,Mumbai,NGO
D512,Shelter,674,2485,Bangalore,NGO
D513,Food,630,3074,Kolkata,Orphanage
D514,"Education,Food",738,4264,Delhi,Orphanage
D515,"Arts,Health",922,3139,Delhi,NGO
D516,"Arts,Food",991,2049,Delhi,Orphanage
D517,Arts,935,2344,Kolkata,Orphanage
D518,"Education,Arts",747,4160,Bangalore,Orphanage
D519,Shelter,861,4831,Mumbai,Orphanage
D520,"Food,Shelter",632,4982,Chennai,NGO
D521,"Education,Food",820,3217,Delhi,NGO
D522,Arts,950,3898,Chennai,NGO
D523,"Food,Education",851,2380,Mumbai,NGO
D524,Food,917,3076,Chennai,Orphanage
D525,Food,940,2984,Kolkata,Orphanage
D526,Arts,984,3480,Bangalore,Orphanage
D527,"Food,Health",733,2851,Bangalore,NGO
D528,Education,707,3217,Delhi,NGO
D529,"Arts,Shelter",932,4650,Mumbai,Orphanage
D530,Food,695,2058,Kolkata,NGO
D531,"Arts,Health",955,4096,Bangalore,NGO
D532,"Arts,Food",590,4141,Kolkata,NGO
D533,Health,929,3888,Delhi,NGO
D534,Arts,769,2060,Delhi,Orphanage
D535,"Health,Education",827,4003,Chennai,Orphanage
D536,Arts,845,4460,Chennai,NGO
D537,Shelter,842,2102,Chennai,NGO
D538,Arts,613,2709,Chennai,NGO
D539,Health,558,3866,Bangalore,Orphanage
D540,"Health,Education",925,4931,Chennai,Orphanage
D541,"Food,Education",875,2920,Mumbai,NGO
D542,"Arts,Shelter",671,3981,Mumbai,NGO
D543,Education,586,2912,Kolkata,Orphanage
D544,"Health,Education",869,3470,Delhi,Orphanage
D545,Education,983,3778,Chennai,Orphanage
D546,Food,720,4922,Kolkata,NGO
D547,"Food,Health",734,2765,Mumbai,NGO
D548,Arts,723,2843,Mumbai,NGO
D549,"Arts,Food",635,4282,Delhi,Orphanage
D550,"Education,Health",533,3289,Mumbai,Orphanage
D551,Education,938,4495,Kolkata,NGO
D552,Food,817,2072,Mumbai,Orphanage
D553,"Health,Shelter",653,3158,Mumbai,Orphanage
D554,Arts,676,3311,Delhi,NGO
D555,Education,603,2974,Chennai,Orphanage
D556,Shelter,745,3005,Kolkata,Orphanage
D557,Health,548,2751,Chennai,NGO
D558,Education,950,2359,Chennai,NGO
D559,Health,585,2178,Mumbai,NGO
D560,"Education,Shelter",676,2545,Chennai,NGO
D561,"Food,Education",811,2261,Delhi,NGO
D562,Food,734,2786,Mumbai,NGO
D563,Health,834,2612,Chennai,Orphanage
D564,"Shelter,Health",593,3880,Kolkata,Orphanage
D565,Food,647,3344,Kolkata,Orphanage
D566,Health,798,2323,Delhi,NGO
D567,Health,526,2334,Bangalore,Orphanage
D568,"Arts,Food",636,2035,Kolkata,NGO
D569,Arts,736,2971,Kolkata,NGO
D570,"Shelter,Arts",673,2810,Bangalore,Orphanage
D571,"Health,Food",1000,3153,Kolkata,Orphanage
D572,Food,503,2465,Delhi,NGO
D573,"Health,Shelter",500,4833,Mumbai,Orphanage
D574,"Arts,Shelter",859,3296,Kolkata,NGO
D575,"Food,Health",880,2535,Delhi,NGO
D576,"Arts,Education",875,4013,Chennai,Orphanage
D577,"Shelter,Health",662,3630,Delhi,NGO
